 s 	 name new  	 name old  	 diffx 	 diffy 	 diff(45) 
 0.000000 	 "ATLASPIPE1.R1" 	  "MK.IP1.R.1" 	 0.005500 	 0.005500 	 0.005500 
 0.100000 	 "ATLASPIPE1.R1" 	  "MK.IP1.R.1" 	 0.001488 	 0.001488 	 0.001488 
 0.200000 	 "ATLASPIPE2.R1" 	  "MK.IP1.R.1" 	 0.002976 	 0.002976 	 0.002976 
 0.300000 	 "ATLASPIPE2.R1" 	  "MK.IP1.R.1" 	 0.004463 	 0.004463 	 0.004463 
 0.400000 	 "ATLASPIPE2.R1" 	  "MK.IP1.R.1" 	 0.005500 	 0.005500 	 0.005500 
 0.500000 	 "ATLASPIPE2.R1" 	  "MK.IP1.R.1" 	 0.005500 	 0.005500 	 0.005500 
 0.600000 	 "ATLASPIPE3.R1" 	  "MK.IP1.R.1" 	 0.005500 	 0.005500 	 0.005500 
 0.700000 	 "ATLASPIPE3.R1" 	  "MK.IP1.R.1" 	 0.005500 	 0.005500 	 0.005500 
 0.800000 	 "ATLASPIPE3.R1" 	  "MK.IP1.R.1" 	 0.005500 	 0.005500 	 0.005500 
 0.900000 	 "ATLASPIPE3.R1" 	  "MK.IP1.R.1" 	 0.005500 	 0.005500 	 0.005500 
 1.000000 	 "ATLASPIPE4.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.100000 	 "ATLASPIPE4.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.200000 	 "ATLASPIPE4.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.300000 	 "ATLASPIPE5.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.400000 	 "ATLASPIPE5.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.500000 	 "ATLASPIPE5.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.600000 	 "ATLASPIPE5.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.700000 	 "ATLASPIPE6.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.800000 	 "ATLASPIPE6.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 1.900000 	 "ATLASPIPE6.R1" 	  "MK.IP1.R.2" 	 0.005500 	 0.005500 	 0.005500 
 2.000000 	 "ATLASPIPE6.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.100000 	 "ATLASPIPE7.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.200000 	 "ATLASPIPE7.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.300000 	 "ATLASPIPE7.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.400000 	 "ATLASPIPE7.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.500000 	 "ATLASPIPE8.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.600000 	 "ATLASPIPE8.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.700000 	 "ATLASPIPE8.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.800000 	 "ATLASPIPE9.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 2.900000 	 "ATLASPIPE9.R1" 	  "MK.IP1.R.3" 	 0.005500 	 0.005500 	 0.005500 
 3.000000 	 "ATLASPIPE9.R1" 	  "MK.IP1.R.4" 	 0.005500 	 0.005500 	 0.005500 
 3.100000 	 "ATLASPIPE9.R1" 	  "MK.IP1.R.4" 	 0.005500 	 0.005500 	 0.005500 
 3.200000 	 "ATLASPIPE10.R1" 	  "MK.IP1.R.4" 	 0.005500 	 0.005500 	 0.005500 
